h[m], water_content[-], rel_perm[-]
  1.585586,   0.207699,   0.413986
  1.594595,   0.207313,   0.412941
  1.603604,   0.206931,   0.411903
  1.612613,   0.206551,   0.410874
  1.621622,   0.206175,   0.409852
  1.630631,   0.205802,   0.408837
  1.639640,   0.205431,   0.407830
  1.648649,   0.205064,   0.406830
  1.657658,   0.204699,   0.405838
  1.666667,   0.204337,   0.404853
  1.675676,   0.203978,   0.403875
  1.684685,   0.203622,   0.402904
  1.693694,   0.203268,   0.401940
  1.702703,   0.202918,   0.400983
  1.711712,   0.202569,   0.400032
  1.720721,   0.202224,   0.399088
  1.729730,   0.201881,   0.398151
  1.738739,   0.201541,   0.397221
  1.747748,   0.201203,   0.396296
  1.756757,   0.200868,   0.395379
  1.765766,   0.200535,   0.394467
  1.774775,   0.200204,   0.393562
  1.783784,   0.199877,   0.392663
  1.792793,   0.199551,   0.391770
  1.801802,   0.199228,   0.390884
  1.810811,   0.198907,   0.390003
  1.819820,   0.198588,   0.389128
  1.828829,   0.198272,   0.388259
  1.837838,   0.197958,   0.387396
  1.846847,   0.197646,   0.386538
  1.855856,   0.197337,   0.385686
  1.864865,   0.197029,   0.384840
  1.873874,   0.196724,   0.383999
  1.882883,   0.196421,   0.383164
  1.891892,   0.196120,   0.382334
  1.900901,   0.195821,   0.381509
  1.909910,   0.195524,   0.380690
  1.918919,   0.195230,   0.379876
  1.927928,   0.194937,   0.379067
  1.936937,   0.194646,   0.378264
  1.945946,   0.194357,   0.377465
  1.954955,   0.194070,   0.376672
  1.963964,   0.193785,   0.375883
  1.972973,   0.193502,   0.375100
  1.981982,   0.193221,   0.374321
  1.990991,   0.192942,   0.373547
  2.000000,   0.192664,   0.372778
  2.009009,   0.192389,   0.372014
  2.018018,   0.192115,   0.371254
  2.027027,   0.191843,   0.370499
  2.036036,   0.191573,   0.369748
  2.045045,   0.191304,   0.369002
  2.054054,   0.191037,   0.368261
  2.063063,   0.190772,   0.367524
  2.072072,   0.190509,   0.366791
  2.081081,   0.190247,   0.366063
  2.090090,   0.189987,   0.365339
  2.099099,   0.189729,   0.364620
  2.108108,   0.189472,   0.363904
  2.117117,   0.189217,   0.363193
  2.126126,   0.188963,   0.362486
  2.135135,   0.188711,   0.361783
  2.144144,   0.188461,   0.361085
  2.153153,   0.188212,   0.360390
  2.162162,   0.187965,   0.359699
  2.171171,   0.187719,   0.359012
  2.180180,   0.187475,   0.358329
