h[m], water_content[-], rel_perm[-]
  1.585586,   0.359307,   0.933753
  1.594595,   0.359223,   0.933486
  1.603604,   0.359139,   0.933220
  1.612613,   0.359056,   0.932955
  1.621622,   0.358973,   0.932690
  1.630631,   0.358890,   0.932427
  1.639640,   0.358807,   0.932164
  1.648649,   0.358725,   0.931902
  1.657658,   0.358643,   0.931641
  1.666667,   0.358561,   0.931381
  1.675676,   0.358480,   0.931122
  1.684685,   0.358398,   0.930863
  1.693694,   0.358317,   0.930605
  1.702703,   0.358237,   0.930349
  1.711712,   0.358156,   0.930093
  1.720721,   0.358076,   0.929837
  1.729730,   0.357996,   0.929583
  1.738739,   0.357916,   0.929329
  1.747748,   0.357837,   0.929076
  1.756757,   0.357757,   0.928824
  1.765766,   0.357678,   0.928573
  1.774775,   0.357600,   0.928323
  1.783784,   0.357521,   0.928073
  1.792793,   0.357443,   0.927824
  1.801802,   0.357365,   0.927576
  1.810811,   0.357287,   0.927328
  1.819820,   0.357209,   0.927082
  1.828829,   0.357132,   0.926836
  1.837838,   0.357055,   0.926591
  1.846847,   0.356978,   0.926346
  1.855856,   0.356902,   0.926103
  1.864865,   0.356825,   0.925860
  1.873874,   0.356749,   0.925618
  1.882883,   0.356673,   0.925376
  1.891892,   0.356597,   0.925136
  1.900901,   0.356522,   0.924896
  1.909910,   0.356447,   0.924656
  1.918919,   0.356372,   0.924418
  1.927928,   0.356297,   0.924180
  1.936937,   0.356222,   0.923943
  1.945946,   0.356148,   0.923706
  1.954955,   0.356074,   0.923471
  1.963964,   0.356000,   0.923236
  1.972973,   0.355926,   0.923001
  1.981982,   0.355853,   0.922768
  1.990991,   0.355780,   0.922535
  2.000000,   0.355707,   0.922303
  2.009009,   0.355634,   0.922071
  2.018018,   0.355561,   0.921840
  2.027027,   0.355489,   0.921610
  2.036036,   0.355416,   0.921380
  2.045045,   0.355344,   0.921151
  2.054054,   0.355273,   0.920923
  2.063063,   0.355201,   0.920695
  2.072072,   0.355130,   0.920469
  2.081081,   0.355059,   0.920242
  2.090090,   0.354988,   0.920017
  2.099099,   0.354917,   0.919792
  2.108108,   0.354846,   0.919567
  2.117117,   0.354776,   0.919344
  2.126126,   0.354706,   0.919120
  2.135135,   0.354636,   0.918898
  2.144144,   0.354566,   0.918676
  2.153153,   0.354496,   0.918455
  2.162162,   0.354427,   0.918234
  2.171171,   0.354358,   0.918014
  2.180180,   0.354289,   0.917795
  2.189189,   0.354220,   0.917576
  2.198198,   0.354151,   0.917358
  2.207207,   0.354083,   0.917141
  2.216216,   0.354015,   0.916924
  2.225225,   0.353947,   0.916707
  2.234234,   0.353879,   0.916492
  2.243243,   0.353811,   0.916277
  2.252252,   0.353744,   0.916062
  2.261261,   0.353676,   0.915848
  2.270270,   0.353609,   0.915635
  2.279279,   0.353542,   0.915422
  2.288288,   0.353476,   0.915210
  2.297297,   0.353409,   0.914998
  2.306306,   0.353343,   0.914787
  2.315315,   0.353276,   0.914576
  2.324324,   0.353210,   0.914366
  2.333333,   0.353145,   0.914157
  2.342342,   0.353079,   0.913948
  2.351351,   0.353013,   0.913740
  2.360360,   0.352948,   0.913532
  2.369369,   0.352883,   0.913325
  2.378378,   0.352818,   0.913118
  2.387387,   0.352753,   0.912912
  2.396396,   0.352688,   0.912707
  2.405405,   0.352624,   0.912502
  2.414414,   0.352560,   0.912297
  2.423423,   0.352495,   0.912094
  2.432432,   0.352431,   0.911890
  2.441441,   0.352368,   0.911687
  2.450450,   0.352304,   0.911485
  2.459459,   0.352241,   0.911283
  2.468468,   0.352177,   0.911082
  2.477477,   0.352114,   0.910881
  2.486486,   0.352051,   0.910681
  2.495495,   0.351988,   0.910481
  2.504505,   0.351926,   0.910282
  2.513514,   0.351863,   0.910083
  2.522523,   0.351801,   0.909885
  2.531532,   0.351739,   0.909688
  2.540541,   0.351677,   0.909490
  2.549550,   0.351615,   0.909294
  2.558559,   0.351553,   0.909098
  2.567568,   0.351491,   0.908902
  2.576577,   0.351430,   0.908707
  2.585586,   0.351369,   0.908512
  2.594595,   0.351308,   0.908318
  2.603604,   0.351247,   0.908124
  2.612613,   0.351186,   0.907931
  2.621622,   0.351125,   0.907738
  2.630631,   0.351065,   0.907546
  2.639640,   0.351005,   0.907354
  2.648649,   0.350944,   0.907163
  2.657658,   0.350884,   0.906972
  2.666667,   0.350825,   0.906782
  2.675676,   0.350765,   0.906592
  2.684685,   0.350705,   0.906402
  2.693694,   0.350646,   0.906214
  2.702703,   0.350586,   0.906025
  2.711712,   0.350527,   0.905837
  2.720721,   0.350468,   0.905649
  2.729730,   0.350409,   0.905462
  2.738739,   0.350351,   0.905276
  2.747748,   0.350292,   0.905089
